EID	Name	Position	Short bio	Education	Past experience	D ONE project experience	Certifications	Conferences	Technical expertise	Capacity
APO	Andrei Popescu	Associate Consultant	Andrei Popescu holds an M.Sc. in Robotics and a B.Sc. in Mechanical Engineering from the Polytechnic University of Bucharest. Before joining D ONE, Andrei worked as a Robotics Engineer at KUKA for 2 years, mainly in projects around automation in manufacturing. His areas of expertise are data engineering and data science. Andrei has been with the team since 2024.	MSc in Robotics (Polytechnic University of Bucharest), BSc in Mechanical Engineering (Polytechnic University of Bucharest)	Developed automation algorithms for robotic arms in manufacturing at KUKA. Implemented machine learning models to optimize production line efficiency. Engineered data pipelines for real-time manufacturing analytics using Python.		Databricks Certified Data Engineer Associate		Python, Robot Operating System (ROS), TensorFlow, Scikit-learn, Pandas, NumPy, Apache Kafka, SQL, ETL (Extract, Transform, Load) Tools	0
SKO	Svenja Koch	Associate Consultant	Svenja Koch holds an M.Sc. in Environmental Science and a B.Sc. in Geology from the University of Freiburg. Before joining D ONE, Svenja worked as a Geospatial Analyst at an environmental consultancy in Germany for 5 years, mainly in projects around natural resource management. Her areas of expertise are data engineering and data science. Svenja has been with the team since 2022.	MSc in Environmental Science (University of Freiburg), BSc in Geology (University of Freiburg)	Developed predictive models to optimize resource allocation in environmental projects. Utilized geospatial data analysis to identify patterns in natural resource distribution. Integrated remote sensing data with GIS for comprehensive environmental impact assessments. Implemented decision trees to streamline environmental risk assessment processes. Leveraged machine learning algorithms to forecast environmental changes and their impacts.	Developed data-driven pricing models for real estate market analysis. Implemented predictive analytics to forecast property market trends accurately. Integrated geospatial data for location-based real estate insights and visualization. Utilized machine learning algorithms for property valuation and investment analysis. Created interactive dashboards for real-time property market monitoring and reporting. Employed natural language processing to analyze real estate market sentiment.	Microsoft Certified: Power BI Data Analyst Associate, Databricks Certified Machine Learning Associate, Tableau Desktop Certified Associate		Python, R, QGIS, ArcGIS, H2O.ai, GDAL, PostGIS, TensorFlow, PyTorch, SQL, Apache Hadoop, Apache Spark, FME, ERDAS IMAGINE, ENVI	20
NDU	Nathan Dubois	Associate Consultant	Nathan Dubois holds an M.Sc. in Software Engineering and a B.Sc. in Information Technology. Before joining D ONE, Nathan worked as a Cloud Solutions Architect at Google Cloud for 4 years, mainly in projects around cloud infrastructure. His areas of expertise are data engineering and data science. Nathan has been with the team since 2024.	MSc in Software Engineering (École Polytechnique Fédérale de Lausanne - EPFL), BSc in Information Technology (Université de Lausanne)	Designed and implemented scalable data pipelines using Google Cloud Dataflow. Built microservices architecture for data processing using Google Kubernetes Engine. Integrated Google Cloud Functions for serverless data processing tasks. Leveraged Google BigQuery for advanced data analytics and querying. Developed custom machine learning models using Google Cloud AI Platform.	Designed data pipelines using AWS Glue for automated data ingestion. Utilized Azure Data Factory for ETL (Extract, Transform, Load) operations.	Microsoft Certified: Azure Data Engineer Associate, Microsoft Certified: Azure Data Fundamentals, Microsoft Certified: Azure Solutions Architect Expert		Google App Engine, Terraform, Ansible, MongoDB, Couchbase, Neo4j, Google Cloud Pub/Sub, Google Cloud Storage, Google Cloud Spanner, Prometheus, Apache Beam, Google Cloud Composer, Vault by HashiCorp, Jenkins, Google Cloud Endpoints	20
IRO	Isabella Rossi	Senior Consultant	Isabella Rossi holds an M.Sc. in Business Management and a B.Sc. in International Business from Bocconi University. Before joining D ONE, Isabella worked as a Management Consultant at McKinsey & Company for 4 years, mainly in projects around strategy and operations. Her areas of expertise are data engineering and data science. Isabella has been with the team since 2018.	MSc in Business Management (Bocconi University), BSc in International Business (Bocconi University)	Orchestrated the integration of cloud-based data warehouses using Amazon Redshift to enhance operational analytics for corporate clients. Developed a machine learning-driven dashboard on Google Cloud Platform to visualize real-time KPIs and drive strategic decision-making. Implemented an Apache Kafka and Apache Airflow based system for real-time data ingestion and processing, improving efficiency in supply chain management. Engineered a predictive model for market trend analysis using Python and Scikit-learn, deployed on Azure to support international business expansion strategies. Designed a RESTful API to allow seamless data exchange between business intelligence tools and the operational databases, facilitating faster response times in market analytics.	Developed blockchain-based transaction system for secure banking operations on Azure. Implemented AI-driven drug discovery platform using AWS SageMaker for pharma. Engineered IoT data integration for predictive maintenance in construction on GCP.	Microsoft Certified: Azure Fundamentals, AWS Certified Developer - Associate, Snowflake: SnowPro Core Certification	GTC 2023	Amazon Redshift, Google Cloud Platform, Apache Kafka, Apache Airflow, Python, Scikit-learn, Azure, RESTful API, Blockchain, AWS SageMaker, IoT data integration, Google Cloud Platform (GCP), Azure Blockchain Service, Amazon Web Services (AWS), Snowflake Data Warehouse	20
MBA	Maximilian Bauer	Senior Consultant	Maximilian Bauer holds an M.Sc. in Computer Science and a B.Sc. in Information Systems. Before joining D ONE, Matteo worked as a Software Developer at UBS for 4 years, mainly in projects around financial analytics. His areas of expertise are data engineering and data science. Maximilian has been with the team since 2019.	MSc in Computer Science (ETH Zurich), BSc in Information Systems (Technical University of Munich)	Engineered distributed data processing pipelines using Apache Spark for scalability. Designed and implemented real-time analytics solutions with Apache Kafka. Developed microservices architecture using Spring Boot for RESTful APIs. Utilized PyTorch and spaCy for NLP-based sentiment analysis tasks.	Implemented CI/CD pipelines with Jenkins for automated testing and deployment. Utilized version control with Git and GitLab for code collaboration. Integrated Docker containers for application deployment and management. Applied Agile methodologies for iterative development and project management. Conducted code reviews and implemented code quality checks with SonarQube.	Professional Scrum Master™ I (PSM I), SAFe Product Owner/Product Manager, AWS Certified Solutions Architect – Associate, Docker Certified Associate, Databricks Certified Associate Developer for Apache Spark 3.0	SDS 2022, SDS 2023	Apache Flink, Microsoft Azure Functions, Apache Storm, Elasticsearch, Logstash, Kibana, Ansible, Puppet, Chef, Hadoop, Tableau, Qlik Sense, MongoDB, Cassandra, Neo4j, TensorFlow.js, Django, Flask, SQLAlchemy, Kubernetes, Helm, Prometheus	30
EJO	Elin Johansson	Associate Consultant	Elin Johansson holds an M.Sc. in Nutrition and a B.Sc. in Food Science from Lund University. Before joining D ONE, Elin worked as a Nutritional Analyst at Nestlé in Switzerland for 3 years, mainly in projects around health and wellness products. Her areas of expertise are data engineering and data science. Elin has been with the team since 2020.	MSc in Nutrition (Lund University), BSc in Food Science (Lund University) 	Orchestrated data ingestion and modeling for nutritional content analysis using Python. Developed predictive models to evaluate dietary impacts on consumer health. Implemented a machine learning platform to optimize food product formulations. Engineered data analytics tools to monitor and improve product quality in real-time. Designed a RESTful API for a wellness product's data integration on AWS.	Developed AI models for early detection of diseases in healthcare. Implemented predictive analytics for risk assessment in construction projects. Automated customer insights platform for personalized banking services. Engineered drug efficacy prediction systems for pharma clients. Optimized inventory management using machine learning in retail.	Dataiku ML Practitioner, TensorFlow Developer Certificate		Python, TensorFlow, Dataiku DSS, AWS, Scikit-learn, Pandas, NumPy, Flask	40
SOR	Siobhan O'Reilly	Consultant	Siobhan O'Reilly holds an M.Sc. in Genetic Epidemiology and a B.Sc. in Genetics from Trinity College Dublin. Before joining D ONE, Siobhan worked as a Research Scientist at Genomics Medicine Ireland for 5 years, mainly in projects around genetic research for disease prevention. Her areas of expertise are data engineering and data science. Siobhan has been with the team since 2018.	MSc in Genetic Epidemiology (Trinity College Dublin), BSc in Genetics (Trinity College Dublin)	Conducted genomic data analysis for personalized medicine initiatives. Developed algorithms for identifying genetic markers associated with disease risk. Utilized machine learning to predict disease susceptibility based on genotypic data. Integrated genomic and clinical data for population-scale health studies. Leveraged bioinformatics tools for variant annotation and interpretation. Collaborated on research projects exploring the genetic basis of complex diseases.	Built data pipelines for healthcare analytics using Apache Spark. Implemented predictive models for patient outcome forecasting with Python. Designed secure data storage solutions compliant with healthcare regulations. Developed custom analytics dashboards for pharmaceutical sales performance tracking.	Databricks Certified Associate Developer for Apache Spark 3.0, Professional Data Engineer, Microsoft Certified: Azure Data Engineer Associate, Tableau Desktop Certified Associate		R, Julia, Hadoop, GATK (Genome Analysis Toolkit), PLINK, BCFtools, TensorFlow, SciPy, NumPy, Pandas, Bioconductor, SAMtools, Docker, Kubernetes, Azure Blob Storage	50
SHU	Sofia Huber	Consultant	Sofia Huber holds an M.Sc. in Statistics and a B.Sc. in Applied Mathematics. Before joining D ONE, Sofia worked as a Research Assistant at ETH Zurich for 2 years, mainly in projects around healthcare analytics. Her areas of expertise are data engineering and data science. Sofia has been with the team since 2023.	MSc in Statistics (Ludwig Maximilian University of Munich), BSc in Applied Mathematics (Technical University of Munich)	Implemented predictive models for patient readmission risk using TensorFlow. Designed data pipelines for analyzing electronic health record (EHR) data. Developed anomaly detection algorithms for detecting healthcare fraud using Python.	Integrated wearable data with electronic health records for comprehensive analysis. Conducted A/B testing to optimize user engagement with wearable products.			R, SAS, Hadoop, Hive, PostgreSQL, MongoDB, Apache Cassandra, Keras, Flask, Jupyter, Matplotlib, Seaborn, Scikit-learn, Apache Beam, Elastic Stack	50
NAH	Noor Al-Hassan	Consultant	Noor Al-Hassan holds an M.Sc. in Public Health and a B.Sc. in Biology from the American University of Beirut. Before joining D ONE, Noor worked as a Health Data Analyst at the Ministry of Public Health in Lebanon for 2 years, mainly in projects around epidemiological studies. Her areas of expertise are data engineering and data science. Noor has been with the team since 2023.	MSc in Public Health (American University of Beirut), BSc in Biology (American University of Beirut)	Conducted sentiment analysis on public health data using Python's NLTK. Employed Tableau for interactive visualization of epidemiological study results.	Leveraged Databricks for scalable data processing and machine learning. Built real-time analytics pipelines for healthcare and insurance clients. Utilized Databricks Delta Lake for efficient data management and versioning.	Databricks Certified Associate Developer for Apache Spark 3.0, Databricks Certified Data Engineer Associate		Python, Pandas, Apache Spark MLlib, Apache Cassandra, Microsoft Power BI, R, Hadoop, MongoDB, Elasticsearch, Jupyter Notebook, SAS	50
HMA	Hugo Martin	Consultant	Hugo Martin holds an M.Sc. in Applied Statistics and a B.Sc. in Economics. Before joining D ONE, Hugo worked as an Economic Analyst at the State Secretariat for Economic Affairs for 3 years, mainly in projects around economic forecasting. His areas of expertise are data engineering and data science. Hugo has been with the team since 2020.	MSc in Applied Statistics (University of Oxford), BSc in Economics (London School of Economics and Political Science)	Developed economic forecasting models using Python and TensorFlow, deployed on AWS to enhance predictive accuracy. Orchestrated a large-scale data ingestion pipeline with Apache Kafka and Apache Airflow to analyze economic trends. Engineered a RESTful API for real-time economic data access, leveraging Google Cloud's Compute Engine and BigQuery. Implemented a machine learning system on Azure to predict inflation rates, improving forecast precision by 22%. Designed a dashboard for visualizing economic indicators in real-time using D3.js and cloud-based data warehousing.	Developed healthcare predictive analytics platform on AWS, improved patient diagnostics. Engineered real-time insurance claim validation using Azure Event Hubs. Implemented GDPR-compliant data storage solution on Google Cloud for banks. Automated pharmaceutical R&D data pipelines with Kubernetes and Apache Spark. Optimized retail demand forecasting using AI on IBM Cloud Pak.	AWS Certified Solutions Architect – Associate, AWS Certified Data Analytics Specialty		Python, TensorFlow, Apache Kafka, Apache Airflow, Google Cloud Compute Engine, Google Cloud BigQuery, Azure Machine Learning, JavaScript, D3.js, AWS	50
